Date,Price,Open,High,Low,Vol.,Change %
05-08-2021,299.70,295.50,300.90,292.75,20700000.00,0.52%
06-08-2021,300.05,300.05,303.40,297.65,16000000.00,0.12%
09-08-2021,298.10,300.75,304.20,296.05,16990000.00,-0.65%
10-08-2021,294.20,297.90,300.20,291.00,15170000.00,-1.31%
11-08-2021,295.45,295.30,297.80,286.45,20800000.00,0.42%
12-08-2021,306.00,297.30,307.40,297.30,33650000.00,3.57%
13-08-2021,307.25,308.80,311.50,303.05,34920000.00,0.41%
16-08-2021,303.70,305.95,307.85,303.05,14350000.00,-1.16%
17-08-2021,297.70,302.80,302.80,292.80,25540000.00,-1.98%
18-08-2021,293.35,296.90,297.75,292.60,18000000.00,-1.46%
20-08-2021,283.10,289.50,290.70,281.00,32580000.00,-3.49%
23-08-2021,276.95,287.20,288.30,275.00,24500000.00,-2.17%
24-08-2021,279.80,278.50,281.50,268.45,37590000.00,1.03%
25-08-2021,284.40,282.80,289.20,282.45,31540000.00,1.64%
26-08-2021,284.30,284.85,287.35,281.65,17860000.00,-0.04%
27-08-2021,285.75,282.90,286.80,281.70,13480000.00,0.51%
30-08-2021,291.95,290.10,293.50,289.90,17220000.00,2.17%
31-08-2021,287.30,291.75,291.95,286.10,36950000.00,-1.59%
01-09-2021,295.25,289.00,297.40,287.30,33100000.00,2.77%
02-09-2021,293.15,295.25,296.30,291.70,14910000.00,-0.71%
03-09-2021,295.55,292.50,296.45,292.00,16590000.00,0.82%
06-09-2021,297.45,297.50,298.95,296.00,16620000.00,0.64%
07-09-2021,294.60,297.35,297.80,290.90,14330000.00,-0.96%
08-09-2021,295.25,293.50,298.80,291.60,14920000.00,0.22%
09-09-2021,298.95,294.00,303.50,293.55,34020000.00,1.25%
13-09-2021,301.20,299.00,302.00,295.50,16340000.00,0.75%
14-09-2021,306.10,302.25,307.20,302.20,23230000.00,1.63%
15-09-2021,311.95,306.10,313.00,306.10,26810000.00,1.91%
16-09-2021,311.65,313.40,315.00,307.65,26250000.00,-0.10%
17-09-2021,308.60,312.00,315.35,306.00,24970000.00,-0.98%
20-09-2021,298.95,304.90,310.25,297.30,19630000.00,-3.13%
21-09-2021,301.95,298.60,302.70,293.10,19440000.00,1.00%
22-09-2021,310.10,303.15,313.80,303.00,29550000.00,2.70%
23-09-2021,321.50,313.20,324.00,313.20,52700000.00,3.68%
24-09-2021,317.95,325.10,326.95,316.05,28900000.00,-1.10%
27-09-2021,331.65,323.15,333.60,323.15,56310000.00,4.31%
28-09-2021,329.30,334.00,336.00,324.50,28500000.00,-0.71%
29-09-2021,330.25,325.00,333.00,324.00,19740000.00,0.29%
30-09-2021,333.35,331.25,337.90,329.10,30270000.00,0.94%
01-10-2021,333.30,332.65,337.30,325.70,29880000.00,-0.02%
04-10-2021,342.00,336.80,343.25,335.15,29550000.00,2.61%
05-10-2021,344.95,340.45,351.50,338.85,31860000.00,0.86%
06-10-2021,336.05,347.00,348.70,335.00,25270000.00,-2.58%
07-10-2021,376.50,341.10,383.00,339.25,163240000.00,12.04%
08-10-2021,382.95,385.90,397.55,380.00,93730000.00,1.71%
11-10-2021,415.75,390.15,420.90,388.00,113410000.00,8.57%
12-10-2021,420.85,423.00,435.70,413.60,97350000.00,1.23%
13-10-2021,506.90,462.90,523.85,462.90,197950000.00,20.45%
14-10-2021,497.60,530.00,530.00,492.00,103630000.00,-1.83%
18-10-2021,509.60,507.00,525.00,503.60,72320000.00,2.41%
19-10-2021,481.90,512.45,517.40,476.05,57430000.00,-5.44%
20-10-2021,486.90,481.80,497.00,471.25,55440000.00,1.04%
21-10-2021,508.00,491.75,510.40,485.75,52610000.00,4.33%
22-10-2021,490.90,509.90,510.70,487.40,42740000.00,-3.37%
25-10-2021,479.90,493.90,496.00,473.25,33110000.00,-2.24%
26-10-2021,508.65,483.50,510.00,483.25,58030000.00,5.99%
27-10-2021,497.90,505.75,506.55,496.00,30360000.00,-2.11%
28-10-2021,481.05,493.90,493.90,478.55,25180000.00,-3.38%
29-10-2021,483.70,482.00,491.60,467.70,31050000.00,0.55%
01-11-2021,485.70,486.45,489.70,469.80,34320000.00,0.41%
02-11-2021,487.85,506.50,510.00,486.50,51580000.00,0.44%
03-11-2021,484.90,483.80,495.00,481.60,22950000.00,-0.60%
04-11-2021,489.70,489.80,493.55,488.00,5530000.00,0.99%
08-11-2021,501.40,493.90,504.85,490.25,31740000.00,2.39%
09-11-2021,509.65,505.00,520.65,503.50,50460000.00,1.65%
10-11-2021,510.75,506.25,515.95,500.20,26620000.00,0.22%
11-11-2021,503.45,510.00,519.00,501.00,29260000.00,-1.43%
12-11-2021,507.05,506.95,509.55,497.35,20730000.00,0.72%
15-11-2021,505.45,506.25,514.90,504.50,18020000.00,-0.32%
16-11-2021,519.05,506.90,526.85,506.20,55900000.00,2.69%
17-11-2021,530.15,520.25,536.70,520.25,48460000.00,2.14%
18-11-2021,509.70,531.45,534.20,501.30,47200000.00,-3.86%
22-11-2021,486.10,512.25,512.25,478.40,40040000.00,-4.63%
23-11-2021,495.50,484.40,499.35,477.00,27550000.00,1.93%
24-11-2021,488.65,499.00,501.80,485.30,20920000.00,-1.38%
25-11-2021,492.75,490.80,495.15,486.50,15340000.00,0.84%
26-11-2021,460.20,486.00,486.75,458.00,51790000.00,-6.61%
29-11-2021,461.45,457.00,470.75,443.10,42820000.00,0.27%
